Departamento,Localidad,Nivel Jurisdiccional,Nombre de Institución,CUE-Anexo,Inicial,Primario,Secundario,Superior
BERON DE ASTRADA,BERON DE ASTRADA,Direccion de Nivel Superior,"EXTENSION AULICA EN BERON DE ASTRADA (I.F.D.""DR.JUAN PUJOL"")",1801411-05,NO,NO,NO,SI
BERON DE ASTRADA,BERON DE ASTRADA,Direccion de Nivel Superior,EXTENSION AULICA EN BERON DE ASTRADA (I.S.F.D. Nº 1),1800815-02,NO,NO,NO,SI
BERON DE ASTRADA,BERON DE ASTRADA,Direccion de Nivel Superior,SUBSEDE EN BERON DE ASTRADA (I.S.F.D. ITUZAINGO),1801768-02,NO,NO,NO,SI
BERON DE ASTRADA,TATARE,Consejo General de Educacion,"ESCUELA Nº 191""MALVINAS ARGENTINAS""",1800593-00,SI,SI,NO,NO
BERON DE ASTRADA,TORO PICHAI,Consejo General de Educacion,"ESCUELA Nº 694 ""PEDRO BERNARDO SANCHEZ""",1800594-00,SI,SI,NO,NO
BERON DE ASTRADA,TOROI,Consejo General de Educacion,"ESCUELA Nº 28 ""PROVINCIA DE SAN JUAN""",1800595-00,SI,SI,NO,NO
BERON DE ASTRADA,YAHAPE,Consejo General de Educacion,"ESCUELA Nº 149 ""MANUEL BELGRANO""",1800685-00,SI,SI,NO,NO
BERON DE ASTRADA,YAHAPE,Direccion de Nivel Secundario,COLEGIO SECUNDARIO DE YAHAPE,1801694-00,NO,NO,SI,NO
CAPITAL,CAÑADA QUIROZ,Consejo General de Educacion,"J.I.N. Nº 17 ""SAN CAYETANO"" - ESCUELA Nº 605",1801578-03,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 64,1801705-64,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 65,1801705-65,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 66,1801705-66,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 67,1801705-67,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 68,1801705-68,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 69,1801705-69,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 70,1801705-70,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 71,1801705-71,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 72,1801705-72,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 73,1801705-73,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 74,1801705-74,NO,SI,SI,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA DE EDUCACION ESPECIAL Nº 1 ""CAROLINA TOBAR GARCIA""  ",1800667-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,ESCUELA DE EDUCACION ESPECIAL Nº 20 PARA IRREGULARES MOTORES,1800409-00,NO,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA DE EDUCACION ESPECIAL Nº 26 ""PETRONA ELIDA IGNATOFF""",1800677-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA ESPECIAL Nº 9 ""HELEN KELLER""",1800555-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA HOGAR ""PRESIDENTE JUAN DOMINGO PERON""",1800118-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,ESCUELA HOSPITALARIA DOMICILIARIA Nº 29,1801525-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 10 ""LAS ARDILLITAS""",1800367-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 17 ""MANUELITA""",1801141-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 18 ""TOPO GIGIO""",1800642-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 20 ""LA HORMIGUITA VIAJERA""",1800778-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 21 ""CASITA ENCANTADA""",1800389-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 23 ""MISERICORDIA""",1800193-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 28 ""ÑEMBOE""",1801365-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,ESCUELA JARDIN DE INFANTES Nº 32,1801583-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 33 ""LOS PINGUINITOS""",1801584-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 35 ""LA TORTUGA CAROLA""",1801586-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,ESCUELA JARDIN DE INFANTES Nº 36,1801587-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 37 ""ISONDU""",1801588-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 38 ""PIPO PESCADOR""",1801589-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 39 ""EL PAIS DE LAS MARAVILLAS""",1801590-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 4 ""MARINA PEREZ ALVAREZ""",1801172-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 40 ""POLLITO TRAVIESO""",1801591-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 41 ""MARIA ELENA WALSH""",1801577-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,ESCUELA JARDIN DE INFANTES Nº 42,1801740-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,ESCUELA JARDIN DE INFANTES Nº 46 ,1801786-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,ESCUELA JARDIN DE INFANTES Nº 47,1801832-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 5 ""LA GOTITA TRAVIESA""",1800381-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 6 ""TRAVESURAS""  ",1800823-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN Nº 19 ""LOS HORNERITOS""",1800372-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN Nº 30 ""FRUTILLITAS""",1801433-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN Nº 31 ""LAS SEMILLITAS DEL CENTENARIO",1801582-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN Nº 43 ""LUNA DE PAPEL""",1801722-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,ESCUELA JARDIN Nº 54,1801918-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA JARDIN Nº 7 ""PINOCHO""",1800638-00,SI,NO,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 1 ""MANUEL BELGRANO""",1800383-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 11 ""DR. LISANDRO SEGOVIA""",1800678-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 12 ""ALTE.GUILLERMO BROWN""",1800386-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 139 ""AMBROSIO DE ACOSTA""",1800442-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 14 ""DEL SESQUICENTENARIO""",1800370-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 146 ""CRUCERO GRAL. BELGRANO""",1800418-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 155 ""SAN VICENTE DE PAUL""",1801174-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 157  ""TERCERA ORDEN DE SAN FRANCISO DE ASIS""",1800422-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 158 ""COLEGIO ARGENTINO""",1800423-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 160 ""NUESTRA SRA.DE LA MISERICORDIA""",1801175-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 2 ""DOMINGO FAUSTINO SARMIENTO""",1801113-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 258 ""REPUBLICA DEL PARAGUAY""",1800397-00,SI,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 275 ""SUPERVISOR ISIDRO ESTEBAN MOREIRA""",1800420-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 280 ""DR. PEDRO ARMANDO MONTAÑA""",1800628-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 290 ""DR. JUAN RAMON VIDAL""",1800640-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 291 ""DR. EUDORO VARGAS GOMEZ""",1800816-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 293 ""TENIENTE GRAL. DONATO ALVAREZ""",1801198-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 296 ""PROFESOR MANUEL CABRAL (H)""",1800424-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 299 ""JUAN ALFREDO ASUAD""",1800665-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 3 ""DEL CENTENARIO""",1800557-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 323 ""ISLAS MALVINAS""",1801201-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 34 ""EL SANTO DE LA ESPADA""",1800127-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 345 ""FRANCISCO REGIS ORTIZ""",1800419-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 353 ""DR. FELIX MARIA GOMEZ""",1800139-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 356 ""JORGE LUIS BORGES""",1800501-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 368 ""MAESTROS CORRENTINOS""",1800502-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 369 ""MAESTRO CESAR RODOLFO TELECHEA""",1800503-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 375 ""SANTA CATALINA DE SIENA""",1801362-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 4 ""MARIANO MORENO""",1800410-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 402 ""GENARO BERON DE ASTRADA""",1800641-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 404 ""DR. EDUARDO WILDE """,1800126-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 430 ""PROVINCIA DE SALTA""",1800412-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 444 ""SALVADOR MARIA DIAZ""",1800668-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 5 ""ESPAÑA""",1800415-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 6 ""PUBLIO ESCOBAR""",1801137-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 606 ""PROVINCIA DE BUENOS AIRES""",1800540-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 607 ""BERNARDINO RIVADAVIA""",1800833-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 666 ""PEDRO BENJAMIN SERRANO""",1800537-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 7 ""ISABEL E. VERA""",1800821-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 8 ""JUAN BAUTISTA ALBERDI""",1800388-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 808 ""DR.VICTORIANO E. MONTES""",1800384-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 850 ""GOBERNADOR JOSE MARIA DE LLANO""",1800365-00,NO,SI,NO,NO
CAPITAL,CORRIENTES,Consejo General de Educacion,"ESCUELA Nº 9 ""GUSTAVO S. GOMEZ""",1800624-00,NO,SI,NO,NO
